존ID,행정시,법정동,분석존,거시권역,분석존내_법정동수,ITS직접관측존여부,도서지역주의,버스평균_시간당승차,ITS월요일직접셀수,ITS월직접셀수,ITS권역대체셀수,ITS제주전체대체셀수,품질코드_설명
1,서귀포시,강정동,대천동,서귀포시_동,3,Y,N,33.6258544921875,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
2,서귀포시,남원읍,남원읍,서귀포시_읍면,1,Y,N,69.23307037353516,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
3,서귀포시,대정읍,대정읍,서귀포시_읍면,1,Y,N,66.61685180664062,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
4,서귀포시,대포동,중문동,서귀포시_동,4,Y,N,7.884689807891846,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
5,서귀포시,도순동,대천동,서귀포시_동,3,Y,N,3.2456109523773193,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
6,서귀포시,동홍동,동홍동,서귀포시_동,1,Y,N,66.88429260253906,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
7,서귀포시,법환동,대륜동,서귀포시_동,3,Y,N,60.55643081665039,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
8,서귀포시,보목동,송산동,서귀포시_동,1,Y,N,5.88474702835083,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
9,서귀포시,상예동,예래동,서귀포시_동,3,Y,N,5.87380313873291,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
10,서귀포시,상효동,영천동,서귀포시_동,2,Y,N,9.376652717590332,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
11,서귀포시,색달동,예래동,서귀포시_동,3,Y,N,24.53659439086914,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
12,서귀포시,서귀동,서귀동,서귀포시_동,1,Y,N,187.53054809570312,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
13,서귀포시,서호동,대륜동,서귀포시_동,3,Y,N,22.764820098876953,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
14,서귀포시,서홍동,서홍동,서귀포시_동,1,Y,N,38.78693389892578,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
15,서귀포시,성산읍,성산읍,서귀포시_읍면,1,Y,N,80.07461547851562,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
16,서귀포시,신효동,효돈동,서귀포시_동,2,N,N,6.769550800323486,0.0,0.0,63.0,21.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
17,서귀포시,안덕면,안덕면,서귀포시_읍면,1,Y,N,83.03226470947266,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
18,서귀포시,월평동,대천동,서귀포시_동,3,Y,N,3.6417579650878906,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
19,서귀포시,중문동,중문동,서귀포시_동,4,Y,N,70.00330352783203,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
20,서귀포시,토평동,영천동,서귀포시_동,2,Y,N,28.422992706298828,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
21,서귀포시,표선면,표선면,서귀포시_읍면,1,Y,N,57.159027099609375,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
22,서귀포시,하예동,예래동,서귀포시_동,3,Y,N,3.330540418624878,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
23,서귀포시,하원동,중문동,서귀포시_동,4,Y,N,5.2429890632629395,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
24,서귀포시,하효동,효돈동,서귀포시_동,2,N,N,10.275422096252441,0.0,0.0,63.0,21.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
25,서귀포시,호근동,대륜동,서귀포시_동,3,Y,N,12.756782531738281,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
26,서귀포시,회수동,중문동,서귀포시_동,4,Y,N,2.195622444152832,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
27,제주시,건입동,건입동,제주시_동,1,Y,N,36.33150863647461,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
28,제주시,구좌읍,구좌읍,제주시_읍면,1,Y,N,77.16569519042969,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
29,제주시,내도동,외도동,제주시_동,4,Y,N,6.519265651702881,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
30,제주시,노형동,노형동,제주시_동,2,Y,N,289.8857727050781,84.0,0.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
31,제주시,도남동,이도2동,제주시_동,2,Y,N,31.572160720825195,77.0,7.0,0.0,0.0,"3=A(양 끝 직접 ITS+비분할), 2=B(한쪽 이상 직접 ITS 또는 분할), 1=C(대체 ITS 또는 도서 포함)"
